;Etykieta;Wzorzec;;;;
;0; Czy Polska odda terminal w Świnoujściu w dyspozycję Ukrainy? To zapowiedział Prezydent Karol Nawrocki podczas wizyty Zełeńskiego w Polsce.;;;;
;0;Departament Energii Stanów Zjednoczonych wydał specjalny raport na temat Zielonego Ładu. Ludzkie emisje dwutlenku węgla co prawda mają jakiś wpływ na bilans radiacyjny atmosfery, ale modele, którymi posługują się lewicowe organizacje, przesadzają z prognozami emisji i stężeń.;;;;
;0;Moim zdaniem najprawdopodobniejsze jest, że wyrwę w Mice zrobiły nasze służby. Gdyby to zrobili Rosjanie albo Ukraińcy, to nie dbaliby o życie Polaków. Tymczasem wyrwa zrobiona jest celowo tak, by nie mogła spowodować katastrofy. Chodziło o pretekst do działań anty-rosyjskich.;;;;
;0; Dostaliśmy informacje, jakoby w szkole podstawowej w Gdyni nie mogły odbyć się wigilie klasowe klas trzecich z uwagi na fakt, iż do tych klas chodzą również dzieci ukraińskie. Stąd decyzją kuratora oświaty w Gdańsku, by nie robić tym dzieciom, nie wiem, przykrości czy jakichś sytuacji niekomfortowych, by takie wigilie, po prostu, takich wigilii nie organizować.;;;;
;0; DLACZEGO szczepienia BCG (przeciw gruźlicy) wciąż podaje się OBOWIĄZKOWO noworodkom w pierwszej dobie życia w Polsce? […] Pytanie wydaje się zasadne, bowiem… nawet realizująca interesy Big Pharmy, Światowa Organizacja Zdrowia (WHO) ZALECA REZYGNACJĘ z powszechnych szczepień BCG w krajach, gdzie ryzyko zakażenia gruźlicą jest bardzo niskie (poniżej 0,1% rocznie) – a w Polsce taka sytuacja trwa od lat.;;;;
;1;Kraków ciągle ma przekroczone normy tlenków azotu i jako miasto powyżej 100 tys. jest ustawowo zobligowane do wprowadzenia strefy;;;;
;1;Czy państwo wiecie, że pieniądze na walkę z alkoholizmem samorządy gminy mają według procentu od sprzedaży alkoholu, którego zyski z udziału wpływają do budżetu gminy? Czyli teoretycznie im więcej ludzie piją, tym więcej gminy mają na walkę z alkoholizmem.;;;;
;0;Nie z Prezydentem [Wołodymyrem Zełenskim spotkał się Donald Tusk – przyp. Demagog] tylko z nędznym uzurpatorkiem – kadencja Zełenskiego skończyła się w maju 2024 roku, a żaden przepis konstytucji Ukrainy nie przewiduje żadnej możliwości jej przedłużenia.;;;;
;1; Sterczewski pojechał na 6 tygodni misji humanitarnej, a i tak ma lepszą frekwencję głosowań od: Giertycha, Szłapki, Grabca, Mentzena, Tuska (i ponad 60 innych posłów z różnych opcji).;;;;
;0;Masowe szczepienia dzieci => MASOWY AUTYZM !!!;;;;
;0;Dzieci we Wrocławiu muszą ubrać się w kolory niemieckiej flagi. Zespół Przedszkolno-Szkolny nr 4 organizuje „Dzień Niemiec”. Będzie niemiecka fotobudka i zabawa… [zdjęcie].;;;;
;1; Czy państwo wiecie, że pieniądze na walkę z alkoholizmem samorządy gminy mają według procentu od sprzedaży alkoholu, którego zyski z udziału wpływają do budżetu gminy? Czyli teoretycznie im więcej ludzie piją, tym więcej gminy mają na walkę z alkoholizmem.;;;;
;1; Przypominam, że to już 2/3 roku, czyli powinniśmy obserwować około 66% realizacji planu budżetowego (pamiętając jednak o nieliniowym harmonogramie realizacji budżetu państwa). Dochody wyniosły 362,8 mld zł, tj. zaledwie 57,3% planu;;;;
;0; Jeżeli weźmiemy prostą rzecz, czyli prosty przypadek pani Grażyny, która prowadzi sklep z rękodziełem i w ramach nowoczesnego sposobu sprzedaży zacznie stosować wtyczkę, która umożliwi w jej sklepie płatność kryptowalutami, i będzie interpretacja prawna, że ta wtyczka świadczy usługę wymiany kryptoaktywów na inne kryptoaktywa i jest to niezgodne z działalnością nielicencjonowaną, to zgodnie z pani poprawką obligatoryjnie pani Grażyna trafi na 6 miesięcy do więzienia co najmniej.;;;;
;1; W Polsce jest około 10 tys. żołnierzy amerykańskich, to jest trzeci wynik w Europie – 37 tys. jest w Niemczech, około 13 tys. jest we Włoszech.;;;;
;0; Max Verstappen, mistrz świata Formuły 1, miał wg niepotwierdzonych źródeł oświadczyć, że zbojkotuje „Pride Night” w F1, mówiąc: „Tor powinien być miejscem wyścigów, a nie ideologii woke”. Czekamy na jego oficjalne oświadczenie w tej sprawie. Pamiętajmy, że kilka lat temu Holender odmówił uklęknięcia na rzecz ruchu „Black Lives Matter”.;;;;
;0; Włodzimierz Putin uleczył świat z pandemii. Jednego dnia okazało się, że ludzie całymi tabunami, milionami, bez żadnych paszportów covidowych, są nie tylko wpuszczani, ale nawet i zapraszani do Polski.;;;;
;0; Jak nie idzie, to nie idzie – to miał być rosyjski dron, a znów okazał się ruski – czyli UKRAIŃSKI. Jak Państwo sądzą: Kijów przeprosi i wyrówna szkody mieszkańcom Osinowa? Myślę, że wątpię.;;;;
;1; Prezydent Karol Nawrocki zawetował ustawę wiatrakową twierdząc, że Polacy jej nie chcą. 56 proc. społeczeństwa popiera tę ustawę.;;;;
;1; W ramach inwestycji z Krajowego Planu Odbudowy w ochronę zdrowia mamy budżet kilkunastokrotnie większy, niż dla branży hotelarskiej, co myślę, że w sposób adekwatny oddaje wagę systemu ochrony zdrowia względem branży HoReCa.;;;;
